question|answer
alors vont-ils organiser d’autres élections ?|Non. cela coûtera trop d'argent.
Non.|cela coûtera trop d'argent donc il vaut mieux économiser de l'argent que d'avoir des élections honnêtes ? 
donc il vaut mieux économiser de l'argent que d'avoir des élections honnêtes ?|eh bien, le parti démocrate dit que ce fut une élection honnête.
eh bien, le parti démocrate dit que ce fut une élection honnête.|bien sûr, ils disent ça : leur homme a gagné ! 
Je vois que l'ancien président Bush est à une conférence.|Oui il raconte des blagues sur ses huit années en tant que président 
Oui.|il raconte des blagues sur ses huit années en tant que président oui, ces huit années ont été très amusantes pour tout le monde 
c'est bien qu'il ait trouvé le temps de faire une visite.|il leur a parlé et les a aidés à se sentir mieux 
il leur a parlé et les a aidés à se sentir mieux.|a-t-il parlé à toutes les familles qui ont perdu un soldat ? 
a-t-il parlé à toutes les familles qui ont perdu un soldat ?|non, il n'a pas eu le temps de faire ça.
non, il n'a pas eu le temps de faire ça.|eh bien, il a tout le temps maintenant ! 
eh bien, il a tout le temps maintenant ! non, il est trop occupé à écrire un livre sur la difficulté d'être président.|
avez-vous reçu votre échantillon de bulletin de vote officiel ?|oui, avec les instructions aux électeurs.
oui, avec les instructions aux électeurs.|comment vas-tu voter ? 
comment vas-tu voter ?|comme toujours, par courrier. tout ce que ça me coûte, c'est un timbre de 42 cents.
comme toujours, par courrier.|tout ce que ça me coûte, c'est un timbre de 42 cents je voulais dire, allez-vous voter pour ou contre les nouvelles taxes ? 
je voulais dire, allez-vous voter pour ou contre les nouvelles taxes ?|contre eux tous, bien sûr.
contre eux tous, bien sûr.|mais nous avons besoin de nouveaux impôts pour financer les autoroutes, les banques et les prisons 
mais nous avons besoin de nouveaux impôts pour financer les autoroutes, les banques et les prisons.|nous avons déjà voté pour de nouvelles taxes pour payer tout ça ! 
nous avons déjà voté pour de nouvelles taxes pour payer tout ça ! c'est vrai.|Où est parti cet argent? 
c'est vrai. Où est parti cet argent?|nos législateurs l'ont dépensé en voyages en première classe partout dans le monde.
nos législateurs l'ont dépensé en voyages en première classe partout dans le monde.|ils passent un bon moment avec notre argent 
ils passent un bon moment avec notre argent.|alors quand allons-nous arrêter de leur en donner plus ? 
avez-vous décidé comment vous allez voter ?|tu veux dire sur les mesures 1, 2 et 3
tu veux dire sur les mesures 1, 2 et 3 ?|Oui. ceux qui amélioreront nos banques, nos routes et nos hôpitaux.
Oui.|ceux qui amélioreront nos banques, nos routes et nos hôpitaux vous parlez des mesures qui augmenteront nos impôts 
vous parlez des mesures qui augmenteront nos impôts.|mais les publicités télévisées disent que nos impôts n’augmenteront pas 
mais les publicités télévisées disent que nos impôts n’augmenteront pas.|tu crois aux publicités télévisées ? 
tu crois aux publicités télévisées ?|j'aime celui où le pompier nous dit pourquoi on devrait voter oui.
j'aime celui où le pompier nous dit pourquoi on devrait voter oui.|ne le crois pas ! quoi que vous disent les publicités télévisées, c’est le contraire qui est vrai 
ne le crois pas ! quoi que vous disent les publicités télévisées, c’est le contraire qui est vrai.|mais le titre de la mesure 1 est « de meilleures banques, sans frais » 
je ne peux pas croire qu'ils nous mentiraient.|bien sûr, ils mentent – ​​c’est ce que font les politiciens ! 
J'ai mal à l'estomac.|est-ce quelque chose que tu as mangé ? 
est-ce quelque chose que tu as mangé ?|peut être. Je ne suis pas sûr.
peut être.|Je ne suis pas sûr Qu'as-tu mangé au petit déjeuner? 
Qu'as-tu mangé au petit déjeuner?|comme d'habitude, des céréales avec du lait et une banane.
comme d'habitude, des céréales avec du lait et une banane.|peut-être que le lait était mauvais 
peut-être que le lait était mauvais.|ça ne sentait pas mauvais 
ça ne sentait pas mauvais.|peut-être que la banane était mauvaise 
peut-être que la banane était mauvaise.|non, la banane était délicieuse 
non, la banane était délicieuse.|peut-être que tu as juste besoin d'aller aux toilettes 
peut-être que tu as juste besoin d'aller aux toilettes.|non, ce n'est pas le problème 
non, ce n'est pas le problème.|peut-être que ça disparaîtra dans peu de temps 
c'est quoi cette tache ?|je ne sais pas.
je ne sais pas.|on dirait du sang 
on dirait du sang.|je pense que mon nez saignait 
je pense que mon nez saignait.|vous devez mouiller votre chemise immédiatement 
vous devez mouiller votre chemise immédiatement.|pourquoi ? 
pourquoi ?|parce que ça fait sortir le sang de la chemise.
parce que ça fait sortir le sang de la chemise.|c'est quoi un peu de sang ? 
c'est quoi un peu de sang ?|ta chemise blanche est en ruine.
ta chemise blanche est en ruine.|donc je vais juste en acheter un autre 
donc je vais juste en acheter un autre.|vous pouvez porter celui-ci dans la maison 
vous pouvez porter celui-ci dans la maison.|la prochaine fois, je le tremperai immédiatement 
mes doigts me faisaient mal.|pourquoi ont-ils mal ? 
pourquoi ont-ils mal ?|je tape trop.
je tape trop.|tu devrais faire une pause 
tu devrais faire une pause.|j'ai besoin de taper pour gagner de l'argent 
j'ai besoin de taper pour gagner de l'argent.|mais taper vous fait mal 
mais taper vous fait mal.|je devrais peut-être consulter un médecin 
je devrais peut-être consulter un médecin.|les médecins sont trop chers 
les médecins sont trop chers.|il pourrait me dire de me reposer un moment 
il pourrait me dire de me reposer un moment.|il voudra peut-être vous ouvrir 
il voudra peut-être vous ouvrir.|il pourrait dire que je vais bien 
il pourrait dire que je vais bien.|il pourrait dire que vous avez un cancer des os 
qu'a dit le docteur?|il pense que j'ai trop de stress.
il pense que j'ai trop de stress.|le stress vous cause des maux de ventre ? 
je déteste les médicaments.|ça me fait me sentir différent alors, qu'est-ce que tu penses positif ? 
alors, qu'est-ce que tu penses positif ?|je pense à de belles choses.
je pense à de belles choses.|comme quoi? 
comme quoi?|comme une journée à la plage, les orteils dans le sable.
Je me suis coupé le doigt.|comment as-tu fais ça? 
comment as-tu fais ça?|c'est un papier découpé.
c'est un papier découpé.|le papier peut être dangereux 
le papier peut être dangereux.|ça fait mal aussi 
ça fait mal aussi.|les coupures de papier peuvent faire très mal 
les coupures de papier peuvent faire très mal.|où sont les pansements ? 
où sont les pansements ?|je pense qu'ils sont dans l'armoire à pharmacie.
je pense qu'ils sont dans l'armoire à pharmacie.|c'est sur le bout de mon doigt 
c'est sur le bout de mon doigt.|un pansement pourrait ne pas fonctionner 
un pansement pourrait ne pas fonctionner.|je ne dois pas utiliser ce doigt jusqu'à ce que la coupure guérisse 
je ne dois pas utiliser ce doigt jusqu'à ce que la coupure guérisse.|cela peut prendre un jour ou deux pour guérir 
est-ce que tu sens ça ?|oh oui.
oh oui.|je ne supporte pas la fumée de cigarette 
je ne supporte pas la fumée de cigarette.|ça sent tellement mauvais 
ça sent tellement mauvais.|une cigarette pue tout le trottoir 
une cigarette pue tout le trottoir.|les fumeurs les trouvent tellement cool 
les fumeurs les trouvent tellement cool.|ils sont si faibles 
ils sont si faibles.|une petite cigarette les contrôle 
une petite cigarette les contrôle.|ils ont l'air tellement stupides de prendre une bouffée 
ils ont l'air tellement stupides de prendre une bouffée.|puis ils soufflent de la fumée par la bouche 
puis ils soufflent de la fumée par la bouche.|ils trouvent ça cool 
ils trouvent ça cool.|les cigarettes puent 
as-tu un rhume?|oui je le fais.
oui je le fais.|comment l'as-tu obtenu? 
comment l'as-tu obtenu?|ma sœur a eu un rhume. elle me l'a donné.
ma sœur a eu un rhume.|elle me l'a donné as-tu pris quelque chose pour ton rhume ? 
as-tu pris quelque chose pour ton rhume ?|non, je me mouche juste beaucoup.
non, je me mouche juste beaucoup.|ton nez est bouché ? 
ton nez est bouché ?|Oui. je dois respirer par la bouche.
Oui.|je dois respirer par la bouche as-tu essayé des gouttes nasales ? 
as-tu essayé des gouttes nasales ?|non, je n'aime pas les gouttes nasales.
non, je n'aime pas les gouttes nasales.|ils fonctionnent très bien 
ils fonctionnent très bien.|je m'en fiche je n'aime pas mettre de gouttes dans mon nez 
Voudrais-tu me mettre de la crème solaire sur le dos, s'il te plaît ?|bien sûr.
merci.|vous ne devriez pas rester trop longtemps au soleil 
vous ne devriez pas rester trop longtemps au soleil.|je veux bronzer je ne veux pas avoir l'air si pâle 
les gens pensent que vous pourriez être malade.|qui pense ça ? 
qui pense ça ?|je ne sais pas.
je ne sais pas.|il vaut mieux être pâle que d'avoir un cancer de la peau 
il vaut mieux être pâle que d'avoir un cancer de la peau.|je sais que 
je sais que. alors pourquoi tu te disputes avec moi ?|ne restez pas trop longtemps au soleil !
je ne peux pas arrêter de fumer.|bien sûr vous pouvez 
bien sûr vous pouvez.|je n'ai pas assez de volonté 
je n'ai pas assez de volonté.|bien sûr, vous le faites 
bien sûr, vous le faites.|j'aurais aimé ne jamais avoir commencé 
j'aurais aimé ne jamais avoir commencé.|il en va de même pour tous les fumeurs 
il en va de même pour tous les fumeurs.|j'ai essayé d'arrêter tellement de fois 
j'ai essayé d'arrêter tellement de fois.|tout le monde aussi 
tout le monde aussi.|rien ne semble fonctionner 
rien ne semble fonctionner.|tout ce qu'il faut, c'est de la volonté, et vous l'avez 
tout ce qu'il faut, c'est de la volonté, et vous l'avez.|alors pourquoi je ne peux pas arrêter ? 
alors pourquoi je ne peux pas arrêter ?|tu dois croire en toi.
mon dos me tue.|Qu'est-ce que tu as fait? 
Qu'est-ce que tu as fait?|je suis sorti de ma voiture.
je suis sorti de ma voiture.|c'est ça? 
c'est ça?|je me suis blessé au dos une fois juste en éternuant.
je me suis blessé au dos une fois juste en éternuant.|vous devriez voir un médecin 
vous devriez voir un médecin.|mon médecin m'a dit que j'avais besoin d'une intervention chirurgicale 
mon médecin m'a dit que j'avais besoin d'une intervention chirurgicale.|donc? 
donc?|alors, oublie ça.
alors, oublie ça.|tu n'as pas l'argent ? 
tu n'as pas l'argent ?|je n'ai pas d'assurance.
je n'ai pas d'assurance.|peut-être qu'un massage du dos aiderait 
mon frère fume trois paquets par jour.|trois paquets de quoi ? 
trois paquets de quoi ?|des cigarettes, bien sûr.
des cigarettes, bien sûr.|Comment peut-il faire ça? 
Comment peut-il faire ça?|lorsqu'il a presque fini de fumer une cigarette, il l'utilise pour en allumer une autre.
lorsqu'il a presque fini de fumer une cigarette, il l'utilise pour en allumer une autre.|c'est un fumeur invétéré 
c'est un fumeur invétéré.|il est un fumeur invétéré depuis 30 ans 
il est un fumeur invétéré depuis 30 ans.|c'est incroyable peut-il encore respirer ? 
c'est incroyable. peut-il encore respirer ?|il le peut, mais les gens autour de lui ne le peuvent pas.
il le peut, mais les gens autour de lui ne le peuvent pas.|comment peut-il être encore en vie ? 
comment peut-il être encore en vie ?|son médecin dit que son cœur et ses poumons sont forts et sains.
son médecin dit que son cœur et ses poumons sont forts et sains.|je devrais peut-être commencer à fumer 
je déteste me brosser les dents.|c'est une telle corvée 
c'est une telle corvée.|pinceau, pinceau cracher, cracher 
peut-être parce qu'ils n'avaient pas besoin de se brosser les dents ni de passer la soie dentaire.|qui a inventé la soie dentaire ? 
qui a inventé la soie dentaire ?|un dentiste, j'en suis sûr.
un dentiste, j'en suis sûr.|je déteste plus la soie dentaire que le brossage ! 
je déteste plus la soie dentaire que le brossage ! j'ai hâte que toutes mes dents tombent.|
arrêtons-nous un moment.|j'ai besoin d'une pause et d'un peu d'eau ce sentier est difficile à gravir 
ce sentier est difficile à gravir.|surtout par une journée chaude comme celle-ci 
surtout par une journée chaude comme celle-ci.|je ne peux pas croire que nous n'ayons vu aucun animal 
je ne peux pas croire que nous n'ayons vu aucun animal.|Dieu merci! 
Dieu merci! je ne veux pas voir d'animaux sauvages.|tout ce que nous avons vu jusqu'à présent, ce sont quelques lézards 
tout ce que nous avons vu jusqu'à présent, ce sont quelques lézards.|nous faisons de la randonnée pour perdre du poids, pas pour voir des chèvres et des ours 
nous faisons de la randonnée pour perdre du poids, pas pour voir des chèvres et des ours.|je parie que j'ai déjà perdu quelques kilos 
je parie que j'ai déjà perdu quelques kilos.|tout ce que tu as perdu, c'est un peu de sueur 
tout ce que tu as perdu, c'est un peu de sueur.|je n'ai même pas perdu un kilo de graisse ? 
je n'ai même pas perdu un kilo de graisse ?|si vous voulez perdre de la graisse, vous devez faire cette randonnée tous les jours.
si vous voulez perdre de la graisse, vous devez faire cette randonnée tous les jours.|ok, mais faisons une randonnée en ville au moins il y a des chats et des chiens à voir 
oh non, un autre bouton sur mon visage.|les boutons sont nuls 
les boutons sont nuls.|on dirait que j'ai un nouveau bouton presque tous les jours 
on dirait que j'ai un nouveau bouton presque tous les jours.|c'est peut-être quelque chose dans ton alimentation 
